iter	RMSE
0	14.04755233
1	13.13920746
2	12.26798954
3	11.56430401
4	10.90668318
5	10.32216968
6	9.762913129
7	9.294587721
8	8.853881642
9	8.525994453
10	8.16405694
11	7.879476863
12	7.598307562
13	7.352931282
14	7.13290009
15	6.913919273
16	6.756490982
17	6.583267415
18	6.443492165
19	6.292262683
20	6.180726581
21	6.067955104
22	5.982577637
23	5.911473324
24	5.8329106
25	5.776193128
26	5.715106397
27	5.66267845
28	5.609718248
29	5.5591288
30	5.514683222
31	5.486675211
32	5.447793824
33	5.419966436
34	5.388257939
35	5.349431312
36	5.321683838
37	5.299367626
38	5.283113604
39	5.262240835
40	5.23829754
41	5.222605355
42	5.210435005
43	5.197164029
44	5.175800495
45	5.16401099
46	5.143094074
47	5.126863498
48	5.120368698
49	5.102292667
50	5.092918153
51	5.078293711
52	5.068569714
53	5.04697914
54	5.031776093
55	5.024200164
56	4.996771554
57	4.98509173
58	4.96468258
59	4.944690546
60	4.940829234
61	4.933815291
62	4.926493088
63	4.90998149
64	4.900540772
65	4.884637145
66	4.874316482
67	4.86722129
68	4.861604275
69	4.847399937
70	4.841070827
71	4.831584735
72	4.824122247
73	4.814217485
74	4.810469329
75	4.806860278
76	4.797592681
77	4.785275575
78	4.777730257
79	4.768699551
80	4.75774168
81	4.749990897
82	4.740633648
83	4.73736167
84	4.729629158
85	4.716446372
86	4.711025168
87	4.697905068
88	4.689626133
89	4.685057084
90	4.673473244
91	4.671212641
92	4.661385587
93	4.655823971
94	4.645814352
95	4.640897261
96	4.631402504
97	4.624151418
98	4.623223363
99	4.609955002
