iter	Passed	Remaining
0	1	165
1	3	181
2	5	162
3	6	145
4	7	140
5	8	135
6	9	132
7	11	129
8	12	127
9	13	124
10	15	122
11	16	121
12	17	119
13	19	118
14	20	116
15	22	115
16	23	114
17	24	112
18	26	110
19	27	109
20	28	107
21	29	105
22	31	104
23	32	102
24	33	100
25	34	99
26	36	97
27	37	96
28	38	95
29	40	93
30	41	92
31	42	90
32	43	89
33	45	87
34	46	86
35	47	84
36	48	83
37	50	81
38	51	80
39	52	79
40	54	77
41	54	75
42	55	74
43	57	72
44	58	71
45	59	70
46	60	68
47	62	67
48	63	66
49	64	64
50	66	63
51	67	62
52	68	60
53	69	59
54	70	58
55	72	56
56	73	55
57	75	54
58	76	53
59	78	52
60	79	50
61	80	49
62	82	48
63	83	47
64	85	45
65	86	44
66	87	43
67	89	41
68	90	40
69	91	39
70	92	37
71	94	36
72	95	35
73	96	34
74	98	32
75	99	31
76	100	30
77	101	28
78	103	27
79	104	26
80	105	24
81	107	23
82	108	22
83	109	20
84	110	19
85	112	18
86	113	16
87	114	15
88	116	14
89	117	13
90	118	11
91	120	10
92	121	9
93	122	7
94	123	6
95	125	5
96	127	3
97	128	2
98	131	1
99	132	0
